episome	episomes
strife	strifes
anodyne	anodynes
ruckle	ruckling
sphericity	sphericities
heavy	heavies
estoppel	estoppels
convoke	convoked|convoking|convokes
headstone	headstones
authorized	authorizes|authorizing|authorize
misnomer	misnomers
aerogram	aerograms
deerstalker	deerstalkers
backpacker	backpackers
outwear	outwearing|outwore|outworn|outwears
blob	blobbing|blobs|blobbed
paired	pair|pairing|pairs
gig	gigging|gigged|gigs
silkworm	silkworms
orpin	orpins
skive	skiving|skives|skived
trifling	trifles|triflings|trifled|trifle
slugger	sluggers
flavor	flavors
apercu	apercus
gyve	gyves|gyving|gyved
precept	precepts
quod	quods
pulley	pulleys
theories	theory
kaiserin	kaiserins
biosynthesis	biosyntheses
polo	polos
earache	earaches
talebearer	talebearers
coomb	coombs
archaize	archaizing|archaizes|archaized
titer	titers
beachhead	beachheads
derailment	derailments
nestling	nestle|nestled|nestles|nestlings
remarriage	remarriages
neurosis	neuroses
quagmire	quagmired|quagmires
hanger	hangers
peg	pegged|pegs|pegging
rebuild	rebuilds|rebuilt|rebuilding
dislike	disliking|disliked|dislikes
activate	activates|activated|activating
filtered	filter|filtering|filters
bilobate	bilobated
anachronism	anachronisms
extremum	extrema
stranding	strands|stranded|strand
shepherd	shepherding|shepherded|shepherds
placeman	placemen
disagreeables	disagreeable
stager	stagers
postcard	postcards
propagation	propagations
haver	havers|havering|havered
hindrance	hindrances
destrier	destriers
reverser	reversers
sunlamp	sunlamps
maya	mayas
medicos	medico
copulation	copulations
beetroot	beetroots
angel	angels
preview	previews|previewing|previewed
teat	teated|teats
mandible	mandibles
unpunished	unpunishing
backward	backwards
ragged	ragging|rag|rags
grovelling	grovel|grovelled|grovels|grovellings
incentive	incentives
colony	colonies
inconvertibility	inconvertibilities
vaulting	vaultings|vault|vaulted|vaults
antimonarchist	antimonarchists
compiled	compile|compiling|compiles
captaincy	captaincies
dialing	dial|dialings|dialed|dials
vagrant	vagrants
hindu	hindus
carbinol	carbinols
entice	enticing|enticed|entices
etiolate	etiolated|etiolating|etiolates
abstraction	abstractions
linter	linters
softener	softeners
unbank	unbanked
ultra	ultras
overdriven	overdrive|overdriving|overdrives|overdrove
pacificate	pacificated|pacificating
at	ated|ating
venter	venters
flitch	flitched|flitching|flitches
oceanwards	oceanward
unremunerated	unremunerating
neurotic	neurotics
smooch	smooches|smooched|smooching
oppositionist	oppositionists
mutation	mutations
disputant	disputants
profiteer	profiteering|profiteers|profiteered
downtime	downtimes
orpiment	orpiments
pederast	pederasts
interlocutrice	interlocutrices
cordial	cordials
subtilty	subtilties
lugger	luggers
marvel	marvelled|marvelling|marvels
sadness	sadnesses
threshold	thresholds
achiever	achievers
mutter	muttered|mutters|muttering
gudgeon	gudgeoning|gudgeons|gudgeoned
okapi	okapis
unredeemed	unredeeming
terminology	terminologies
twill	twills|twilling|twilled
morphism	morphisms
wharves	wharve
vanquished	vanquishes|vanquish|vanquishing
sexcentenary	sexcentenaries
ruminant	ruminants
unbridle	unbridled|unbridles|unbridling
aria	arias
saucebox	sauceboxes
extirpate	extirpated|extirpates|extirpating
odorize	odorized|odorizing|odorizes
spitter	spitters
al	als
swig	swigs|swigged|swigging
unstirred	unstirring
calenture	calenturing|calentured
turret	turrets
pilewort	pileworts
uncumbered	uncumber
detect	detects|detected|detecting
geosyncline	geosynclines
brusher	brushers
violence	violences
germinate	germinates|germinating|germinated
startle	startling|startles|startled
licorice	licorices
simplifier	simplifiers
pentameter	pentameters
evening	evenings|even|evened|evens
dittany	dittanies
conchoid	conchoids
clodhopper	clodhoppers
foregoer	foregoers
earplugs	earplug
tinker	tinkers|tinkered|tinkering
semicolon	semicolons
landward	landwards
deviant	deviants
pragmatist	pragmatists
outguess	outguesses
tamper	tampered|tampers|tampering
interpolate	interpolated|interpolating|interpolates
megabyte	megabytes
sip	sips|sipped|sipping
cusec	cusecs
stoop	stooped|stooping|stoops
sell	sells|sold|selling
tael	taels
valentine	valentines
groaning	groans|groaned|groan
armiger	armigers
foraminate	foraminated
addressing	addrest|addresses|address
ultima	ultimas
wagon	wagoned|wagons|wagoning
churchwarden	churchwardens
scrooge	scrooges
herdsman	herdsmen
habitat	habitats
toke	toked|tokes|toking
begotten	begot|beget|begetting|begets
market	marketing|markets|marketed
infirm	infirmed|infirming|infirms
vomitory	vomitories
antedate	antedates|antedating|antedated
chaplet	chaplets
endanger	endangering|endangered|endangers
holdover	holdovers
uninviting	uninvite|uninvited
adjuration	adjurations
cradler	cradlers
devisor	devisors
feudary	feudaries
summon	summons
accoutrement	accoutrements
cavy	cavies
catalyst	catalysts
liquefaction	liquefactions
disregard	disregarded|disregards|disregarding
streak	streaking|streaks|streaked
wilderness	wildernesses
ovary	ovaries
chambray	chambrays
pros	pro|pross
unstated	unstate|unstating|unstates
carcinoma	carcinomas|carcinomata
storefront	storefronts
limpet	limpets
physicality	physicalities
hamlet	hamlets
geomagnetic	geomagnetics
maddening	madden|maddened|maddens
bareheaded	barehead
correspondent	correspondents
duodecimo	duodecimos
opposer	opposers
monology	monologies
cottar	cottars
embody	embodying|embodies|embodied
deviance	deviances
amplify	amplifies|amplified|amplifying
smack	smacked|smacks|smacking
chemic	chemicked|chemicking|chemics
illusionist	illusionists
villein	villeins
unrein	unreined
deficit	deficits
ratal	ratals
copperhead	copperheads
entozoon	entozoa
tact	tacts
kailyard	kailyards
sergeancy	sergeancies
botch	botched|botching|botches
eroded	erodes|erode|eroding
fillet	fillets|filleted|filleting
impair	impairs|impairing|impaired
materialization	materializations
agaze	agazed
centenarian	centenarians
genealogist	genealogists
preconize	preconizing|preconized
witticism	witticisms
magnetize	magnetizing|magnetizes|magnetized
nutter	nutters
could	couldn't|can't|can
tweeter	tweeters
padlock	padlocks|padlocking|padlocked
velour	velours
randomize	randomizes|randomized|randomizing
stickle	stickling|stickled|stickles
recondense	recondensing|recondenses|recondensed
imitation	imitations
grater	graters
capote	capotes
lioness	lionesses
landed	landing|land|lands
infest	infesting|infests|infested
palate	palated|palates
unauthenticate	unauthenticated
average	averaging|averages|averaged
trigraph	trigraphs
thieve	thieves|thieving|thieved
demotion	demotions
commissar	commissars
overvalued	overvalue|overvaluing|overvalues
occiput	occiputs|occipita
unimproved	unimproving
coma	comas
fuel	fuelled|fuels|fuelling
acquire	acquired|acquiring|acquires
convent	conventing|convents|convented
coho	cohos
syncretize	syncretizing|syncretized
wards	warded|ward|warding
machicolated	machicolating|machicolate
lough	loughs
arthritic	arthritics
pentad	pentads
rabbin	rabbins
nihilism	nihilisms
oared	oaring|oar|oars
podzol	podzols
dern	derning|derned
subtreasury	subtreasuries
swift	swifts
trifle	trifles|trifling|trifled
dinette	dinettes
riddle	riddles|riddling|riddled
scythe	scything|scythes|scythed
serenader	serenaders
uncrate	uncrating|uncrates|uncrated
science	sciences|scienced
pater	paters
overcome	overcame|overcomes|overcoming
uncompounded	uncompound|uncompounding
chanter	chanters
seel	seels|seeled|seeling
concrescence	concrescences
vermifuge	vermifuges
deface	defacing|defaced|defaces
neurologist	neurologists
harpist	harpists
bump	bumped|bumps|bumping
somersault	somersaulted|somersaulting|somersaults
apatite	apatites
voidance	voidances
hogging	hog|hogged|hogs
archives	archiving|archived|archive
irradiation	irradiations
manoeuvre	manoeuvring|manoeuvred
jeopardy	jeopardies|jeopardying|jeopardied
imbedding	imbedded|imbeds|imbed
teal	teals
scrape	scrapes|scraping|scraped
superlative	superlatives
p	ps|ped|ping
kickshaw	kickshaws
potables	potable
megaphone	megaphoning|megaphoned|megaphones
schoolgirl	schoolgirls
foreign	foreigns
renouncer	renouncers
adjurer	adjurers
privileged	privileging|privilege|privileges
leprosarium	leprosariums
horticulturist	horticulturists
embarking	embarked|embarks|embark
pronged	prong|pronging|prongs
piggy	piggies
buggery	buggeries
eligible	eligibles
re-count	recounted
retrodden	retrod
ducker	duckers
suffer	suffering|suffered|suffers
endowment	endowments
scudding	scud|scudded|scuds
wand	wands
lama	lamas
bong	bonging|bonged|bongs
apophysis	apophyses
bogy	bogies
erratic	erratics
subdomain	subdomains
actuality	actualities
handled	handling|handle|handles
whale	whaling|whales|whaled
husk	husking|husks|husked
pathology	pathologies
entwist	entwisted|entwists|entwisting
overshine	overshining|overshined
deterrent	deterrents
hennery	henneries
costs	cost|costing
revision	revisions
lisp	lisps|lisped|lisping
jacker	jackers
prelatess	prelates
sot	sotting|sotted|sots
tingle	tingles|tingled|tingling
auto	autos|autoing|autoed
unpredicted	unpredicting|unpredict
unpointed	unpointing
discern	discerned|discerning|discerns
outbuild	outbuilds|outbuilding
cosmism	cosmisms
unexperienced	unexperience
pud	puds|pudding
alburnum	alburnums
melon	melons
hodman	hodmen
rouser	rousers
reconversion	reconversions
psychoanalyze	psychoanalyzing|psychoanalyzes|psychoanalyzed
rink	rinks
bolter	bolters
nucleation	nucleations
glad	glads
retake	retaken|retakes|retook|retaking
erased	erase|erasing|erases
wite	wited|witing|wites
liberty	liberties
trademark	trademarks
variable	variables
fencible	fencibles
encrust	encrusted|encrusting|encrusts
jackal	jackals
quince	quinces
refractivity	refractivities
casket	caskets
choler	cholers
ferris	ferri|ferried
roughneck	roughnecks
signed	sign|signing|signs
shammer	shammers
murrain	murrains
simplicity	simplicities
allusion	allusions
be	are|been|bes|were|was|wasn't|aren't|am|is|isn't|being|weren't
promisor	promisors
jiffy	jiffies
decapitated	decapitating|decapitates|decapitate
undercharge	undercharging|undercharges|undercharged
cacique	caciques
pup	pups|pupping|pupped
contraction	contractions
whiles	whiled|while|whiling
jaw	jawing|jaws|jawed
herniated	herniating
unpure	unpured
sonship	sonships
versatility	versatilities
interview	interviewing|interviewed|interviews
transparency	transparencies
grip	gript|grips|gripping
meal	meals|mealing|mealed
unhand	unhands|unhanding|unhanded
sough	soughs|soughing|soughed
boohoo	boohoos|boohooing|boohooed
declaration	declarations
monologist	monologists
wastrie	wastries
lysis	lyses
microphone	microphoning|microphones
errata	erratas
tonne	tonnes
hoax	hoaxing|hoaxed|hoaxes
deave	deaving|deaved|deaves
cyanosis	cyanoses
ambush	ambushed|ambushes|ambushing
perambulate	perambulating|perambulated|perambulates
exotic	exotics
defloration	deflorations
rosary	rosaries
pittance	pittances
bunco	buncos|buncoing|buncoed
slype	slypes
lug	lugs|lugged|lugging
teuton	teutons
hellhole	hellholes
alp	alps
mungo	mungos
etymologize	etymologizing|etymologized
circumstance	circumstanced|circumstancing|circumstances
grizzle	grizzles|grizzled|grizzling
contract	contracted|contracts|contracting
slept	sleep|sleeps|sleeping
mithridatize	mithridatized|mithridatizing
signature	signatures|signaturing|signatured
krait	kraits
infield	infields
drupe	drupes
hatcher	hatchers
adman	admen
expansionist	expansionists
incorporator	incorporators
unexacting	unexacted|unexact
jaguarundi	jaguarundis
hounds	hounding|hounded|hound
object	objected|objects|objecting
skeleton	skeletons
aforetime	aforetimes
interpret	interprets|interpreting|interpreted
underdraw	underdrawing
moonbeam	moonbeams
chaw	chawed|chawing|chaws
heartburn	heartburns|heartburning
dimensioning	dimension|dimensions|dimensioned
coagulant	coagulants
convulse	convulses|convulsing|convulsed
airship	airships
masking	masked|maskings|masks|mask
manilla	manillas
stretto	strettos
chore	chores|choring|chored
inkiness	inkinesses
motorize	motorized|motorizing|motorizes
behaviour	behaviours
finnic	finnicking
predication	predications
cleavage	cleavages
reversion	reversions
whitlow	whitlows
iteration	iterations
itself	themselves
sunward	sunwards
oath	oathed|oaths
replace	replaces|replacing|replaced
refrigerate	refrigerates|refrigerating|refrigerated
bill	billing|billed|bills
investiture	investitures
mat	mats|matted|matting
chattel	chattels
quassin	quassins
spiegel	spiegels
bromate	bromating|bromated|bromates
pieceworker	pieceworkers
primogenitor	primogenitors
enjoyment	enjoyments
satinet	satinets
entailment	entailments
jetsam	jetsams
backlist	backlists
dispel	dispelling|dispelled|dispels
orientalize	orientalizing|orientalized
paddlefish	paddlefishes
eternize	eternizes|eternizing|eternized
didactic	didactics
hyperactivity	hyperactivities
clavier	claviers
sura	suras
dissert	disserting|disserted|disserts
single	singles|singled|singling
abridgment	abridgments
disco	discos
overdraw	overdraws|overdrawing|overdrew|overdrawn
palpation	palpations
disillusionment	disillusionments
unanimated	unanimating|unanimate
scrobiculated	scrobiculate
drail	drails|drailing|drailed
pompadour	pompadours
loyalty	loyalties
ringleader	ringleaders
clepe	cleping|clepes|yclept
unlighted	unlight
dimeter	dimeters
grandson	grandsons
stretched	stretches|stretch|stretching
misgive	misgave|misgiven|misgiving|misgives
valorize	valorizes|valorizing|valorized
loge	loges
balm	balms
monetarist	monetarists
unsounded	unsound|unsounding
jaloppy	jaloppies
pooped	poops|pooping|poop
condescending	condescend|condescends|condescended
freshet	freshets
antifreeze	antifreezes|antifreezing
acciaccatura	acciaccaturas
mister	mistered|misters|mistering
drying	dry|dries|dried
oversea	overseas
airfield	airfields
bambino	bambinos
zone	zoned|zoning|zones
agonise	agonised|agonises|agonising
blither	blithers
towy	towies
frailty	frailties
lashings	lashing
brawn	brawns|brawned
incendiary	incendiaries
outgaze	outgazing|outgazed
platy	platies
chorography	chorographies
attrited	attrite|attriting
lupine	lupines
rostrum	rostra|rostrums
abuser	abusers
lodgment	lodgments
coding	codes|code|coded|codings
creme	cremes
methodology	methodologies
devoir	devoirs
control	controlling|controlled|controls
homing	homes|home|homed
copyright	copyrighting|copyrights|copyrighted
unclouded	uncloud|unclouds|unclouding
blazer	blazers
radiotherapist	radiotherapists
buying	buy|bought|buys
despoil	despoils|despoiling|despoiled
gestation	gestations
shrive	shriven|shriving|shrove|shrives
unoriginate	unoriginated
culottes	culotte
translocation	translocations
gnat	gnats
chine	chines|chined|chining
damascene	damascening|damascenes|damascened
ladrone	ladrones
grizzled	grizzles|grizzle|grizzling
hearten	heartened|heartens|heartening
gantry	gantries
kaka	kakas
washwoman	washwomen
sexism	sexisms
scheme	scheming|schemes|schemed
complainant	complainants
horseman	horsemen
grill	grilling|grilled|grills
polemics	polemic
sequestrum	sequestrums
generalization	generalizations
slubber	slubbers
monarchist	monarchists
venule	venules
contexture	contextured
overwatched	overwatch
inference	inferences
ironing	iron|ironings|irons|ironed
minuteman	minutemen
sarcelle	sarcelled
unblessed	unbless
rand	randing|rands
decide	decides|deciding|decided
bedrail	bedrails
revitalise	revitalising|revitalised
catalogue	catalogues|cataloguing|catalogued
atonic	atonics
desiccator	desiccators
republicanise	republicanising|republicanised
saxophonist	saxophonists
deluge	deluges|deluged|deluging
history	historied|histories
homiletic	homiletics
toasting	toasts|toast|toasted
shudder	shuddering|shudders|shuddered
vendace	vendaces
density	densities
herring	hers|her|herrings
unfavoured	unfavouring
apogee	apogees
salesman	salesmen
crosier	crosiered|crosiers
changer	changers
links	link|linked|linking
wainscot	wainscots|wainscoting|wainscoted
pintado	pintadoes|pintados
rubricate	rubricated|rubricating
alluvial	alluvials
widder	widders
fallen	fell|falls|fall|falling
region	regions|regioned
fryer	fryers
cataleptic	cataleptics
wildfowl	wildfowling|wildfowls
muralist	muralists
bicyclist	bicyclists
poke	pokes|poking|poked
kickback	kickbacks
unglazed	unglaze
saponify	saponifying|saponifies|saponified
erbium	erbiums
mump	mumping|mumped|mumps
unicorn	unicorns
detoxicate	detoxicating|detoxicated
dariole	darioles
china	chinas
heuristic	heuristics
then	thens
depictor	depictors
quickstep	quicksteps
chalice	chaliced|chalices
iridescence	iridescences
outmoded	outmode|outmoding|outmodes
oscar	oscars
cuts	cut|cutting
discouragement	discouragements
profit	profits|profited|profiting
minelayer	minelayers
kava	kavas
enhanced	enhance|enhancing|enhances
unkennel	unkenneled|unkenneling|unkennels
predetermined	predetermining|predetermine|predetermines
transonics	transonic
unlock	unlocks|unlocked|unlocking
shotgun	shotgunning|shotguns|shotgunned
apostasy	apostasies
odonate	odonates
cooling	cool|cools|cooled
readmission	readmissions
bothy	bothies
placing	place|placed|places
remonetise	remonetised|remonetising
tricorn	tricorns
sacking	sacks|sack|sackings|sacked
theme	themed|theming|themes
waltzer	waltzers
aweary	awearied
culler	cullers
pennyroyal	pennyroyals
fireworks	firework
anchorage	anchorages
mollify	mollifies|mollifying|mollified
moviemaker	moviemakers
reconciliation	reconciliations
poop	poops|pooping|pooped
sphygmography	sphygmographies
colours	colour|coloured|colouring
oedema	oedemata|oedemas
cassia	cassias
majorized	majorize
nidering	niderings
agrarian	agrarians
sus	sued|suss|su|suing
logger	loggers
rasp	rasped|rasping|rasps
balalaika	balalaikas
trimaran	trimarans
succor	succors
prof	profs
combo	combos
amends	amending|amend|amended
disdain	disdained|disdaining|disdains
undernourished	undernourish
meany	meanies
furrier	furriered|furriers
peristalsis	peristalses
chairwoman	chairwomen
ball	balled|balls|balling
panning	pan|pans|panned
marshall	marshalled|marshalls|marshalling
local	locals|localling|localled
raddle	raddling|raddles|raddled
ammonia	ammonias
injustice	injustices
unking	unked
haranguer	haranguers
rasher	rashers
junketing	junketed|junkets|junket
unembarrassed	unembarrassing
untidy	untidied|untidies|untidying
choir	choiring|choirs|choired
uncloying	uncloyed
spurrier	spurriers
handout	handouts
supporting	supports|supported|support
ensure	ensures|ensuring|ensured
troubles	troubling|troubled|trouble
semitic	semitics
buffeter	buffeters
cathedra	cathedras
parcelling	parcel|parcelled|parcels
bedstead	bedsteads
pronounce	pronounces|pronounced|pronouncing
resuscitate	resuscitating|resuscitates|resuscitated
team	teamed|teams|teaming
arbor	arbors
bons	bon
stethoscopy	stethoscopies
alpaca	alpacas
orthogonalize	orthogonalizing|orthogonalized
fistula	fistulas
sicken	sickens|sickening|sickened
sausage	sausages
undocking	undock|undocked|undocks
tattooer	tattooers
obedience	obediences
anhydride	anhydrides
distracted	distracts|distracting|distract
hyoid	hyoids
unconsenting	unconsent|unconsented
vino	vinos
enneahedron	enneahedrons
imparadise	imparadised|imparadising
harmonise	harmonised|harmonising
atmospheric	atmospherics
assemblage	assemblages
knock	knocked|knocks|knocking
lambskin	lambskins
temerity	temerities
bytes	byte
scarves	scarved
oblation	oblations
adjuvant	adjuvants
dialed	dial|dialing|dials
boys	boy
globe	globes|globing|globed
rarefy	rarefied|rarefying|rarefies
compliment	complimenting|complimented|compliments
serene	serened|serenes
blackbird	blackbirding|blackbirds
skewed	skewer|skews|skewing
bases	based|base|basing
jaundice	jaundiced|jaundicing|jaundices
kidnaper	kidnapers
hoggery	hoggeries
cynic	cynics
melodic	melodics
ax	axing|axed|axes
care	cares|cared|caring
gentian	gentians
underlying	underlies|underlay|underlie|underlain
jumbuck	jumbucks
whistler	whistlers
frustration	frustrations
youngling	younglings
adieu	adieus
horst	horsts
enrage	enrages|enraged|enraging
bethink	bethinks|bethought|bethinking
globalist	globalists
cruse	cruses
eng	engs
interlink	interlinks|interlinking|interlinked
magnify	magnified|magnifying|magnifies
directive	directives
dithyramb	dithyrambs
coat	coating|coated|coats
baboon	baboons
signaler	signalers
charlatan	charlatans
auditor	auditors
inspect	inspected|inspects|inspecting
coper	copers
faquir	faquirs
safe	safes
billionaire	billionaires
quitch	quitches
silhouette	silhouetted|silhouettes|silhouetting
caiman	caimans
sinology	sinologies
blower	blowers
octavo	octavos
exchange	exchanging|exchanges|exchanged
amusing	amuses|amuse|amused
serrate	serrated|serrating|serrates
exploring	explores|explored|explore
aerodynamics	aerodynamic
levelling	level|levelled|levels
ixia	ixias
titlist	titlists
intercrop	intercropping|intercropped
rearward	rearwards
unswayed	unswaying
rupture	rupturing|ruptured|ruptures
wingding	wingdings
flanker	flankers
plumiped	plumipeds
characteristics	characteristic
fluxion	fluxions
primness	primnesses
backwoodsman	backwoodsmen
manitu	manitus
weakling	weaklings
rash	rashes|rashing
uninformed	uninforming
fisc	fiscs
sultana	sultanas
guideposts	guidepost
apartment	apartments
catchpenny	catchpennies
bree	brees
bagnio	bagnios
deckle	deckles
mastersinger	mastersingers
cuisine	cuisines
lorry	lorries
comparer	comparers
seep	seeps|seeping|seeped
cadenza	cadenzas
glaziery	glazieries
collogue	colloguing|collogued|collogues
wilt	wilts|wilted|wilting
final	finals
ingenerate	ingenerated|ingenerating
flossy	flossies
storey	storeyed|storeys
libertine	libertines
yeoman	yeomen
disintegrate	disintegrating|disintegrated|disintegrates
suede	suedes|sueding|sueded
bazaar	bazaars
goofball	goofballs
papacy	papacies
ballistics	ballistic
terbium	terbiums
revolutionize	revolutionized|revolutionizing|revolutionizes
lardon	lardons
brougham	broughams
knothole	knotholes
agitate	agitating|agitated|agitates
fourgon	fourgons
flatting	flats|flatted|flatter
stricture	strictured|strictures
subdirector	subdirectors
blotch	blotched|blotches|blotching
mattins	mattin
stickpin	stickpins
sunsuit	sunsuits
independent	independents
demagogue	demagogues
snatcher	snatchers
condenser	condensers
self	selfing|selves|selfs|selfed
pea	peas
ortolan	ortolans
unfold	unfolds|unfolding|unfolded
abstainer	abstainers
impark	imparked|imparks|imparking
vinaigrette	vinaigretted|vinaigrettes
ampersand	ampersands
seascape	seascapes
junco	juncos|juncoes
velocity	velocities
virago	viragos|viragoes
party	parties|partied|partying
eulogia	eulogias
brook	brooking|brooks|brooked
quads	quad
unscratched	unscratching
pool	pools|pooling|pooled
farmstead	farmsteading|farmsteads
stole	stolen|stoles|steal|stealing|steals
marc	marcs
ethnologist	ethnologists
sunday	sundays
aristogenic	aristogenics
midterm	midterms
froze	frozen|freezes|freezing|freeze
schemes	scheming|scheme|schemed
varnishing	varnished|varnish|varnishes
sepia	sepias
squeeze	squeezed|squeezes|squeezing
exhumation	exhumations
bible	bibles
yashmak	yashmaks
terry	terries
insister	insisters
outroot	outrooted|outroots|outrooting
gravestone	gravestones
vampire	vampires
historian	historians
retrieval	retrievals
blandishment	blandishments
unploughed	unplough
prepossess	prepossessed|prepossessing|prepossesses
lubricant	lubricants
umber	umbers
couch	couching|couched|couches
discouraged	discourages|discouraging|discourage
obtrude	obtruded|obtrudes|obtruding
creatine	creatines
dainty	dainties
countries	country
an	ans|some
hyperostosis	hyperostoses
doily	doilies
conquistador	conquistadors
crossroads	crossroad|crossroading
about	abouts
assuming	assumed|assume|assumes
pruner	pruners
complexion	complexions|complexioned
matter	mattering|mattered|matters
compatible	compatibles
univalve	univalves|univalved
tress	tresses|tressed|tres
roo	rooed|rooing
plague	plaguing|plagues|plagued
camphor	camphors
trifocal	trifocals
effects	effect|effecting|effected
com	coms
idolize	idolizes|idolizing|idolized
g	ging|gs|ged
emetic	emetics
skinful	skinfuls
anointment	anointments
headphones	headphone
harper	harpers
soldiery	soldieries
aristocracy	aristocracies
paperweight	paperweights
turnbuckle	turnbuckles
mrs	mr
ringworm	ringworms
calvaria	calvarias
wishing	wishes|wished|wish
saleswoman	saleswomen
wiper	wipers
ophthalmoscopy	ophthalmoscopies
reactivity	reactivities
blasted	blasts|blast|blasting
hooper	hoopers
justified	justify|justifying|justifies
scrupulosity	scrupulosities
bam	bams|bamming|bammed
moonset	moonsets
stere	steres
bosh	boshes
graven	graving|graves|grave
osculation	osculations
hexane	hexanes
sirup	sirups
ironist	ironists
electrooptic	electrooptics
bracket	bracketed|bracketing|brackets
zymology	zymologies
athletics	athletic
vector	vectoring|vectors|vectored
moviedom	moviedoms
ablation	ablations
stillman	stillmen
eastward	eastwards
biometric	biometrics
enunciation	enunciations
impend	impending|impends|impended
hut	hutting|hutted|huts
undergrad	undergrads
accretion	accretions
saccharify	saccharifying|saccharified
prattler	prattlers
straitened	straitens|straitening|straiten
commander	commanders
superstratum	superstratums
shiksa	shiksas
calculation	calculations
exsert	exserting|exserts|exserted
pontil	pontils
pps	pp
simulcast	simulcasts|simulcasting
snell	snells
humidor	humidors
hamadryad	hamadryads
frit	fritting|fritted|frits
eaglet	eaglets
neatness	neatnesses
accord	according|accords|accorded
harass	harasses|harassed|harassing
catharsis	catharses
bronzer	bronzers
windshield	windshields
detonation	detonations
pigpen	pigpens
fiberizing	fiberized|fiberizes|fiberize
acknowledgment	acknowledgments
catalog	catalogs
subroutine	subroutines|subroutining
commandant	commandants
pongee	pongees
sodality	sodalities
chemistry	chemistries
furbelow	furbelowed|furbelows|furbelowing
tilde	tildes
outrival	outrivalling|outrivalled|outrivals
veronica	veronicas
psychometry	psychometries
best	bested|besting|bests
brewage	brewages
passport	passports
lenses	lense|lensed
disleave	disleaving|disleaved
nonforfeiture	nonforfeitures
reradiate	reradiated|reradiates|reradiating
infidel	infidels
unenlarged	unenlarging
unlearned	unlearnt|unlearns|unlearn|unlearning
hyla	hylas
estimate	estimated|estimating|estimates
broadloom	broadlooms
sanserif	sanserifs
dehumidify	dehumidifying|dehumidifies|dehumidified
unconsecrated	unconsecrate
sprat	spratting|spratted|sprats
engagements	engagement
lanolin	lanolins
extremist	extremists
stammerer	stammerers
unclean	uncleaned
ballast	ballasted|ballasting|ballasts
fraze	frazed|frazing
uninfluenced	uninfluencing
gay	gays
sync	synced|syncs|syncing
infuscate	infuscated
stacte	stactes
demography	demographies
pageantry	pageantries
sticking	stick|stuck|sticks
tinner	tinners
hypertrophied	hypertrophy|hypertrophies|hypertrophying
telegraphic	telegraphics
nipping	nips|nip|nipped
warship	warships
looker	lookers
peculiarity	peculiarities
duel	duelled|duels|duelling
tuffet	tuffets
luncheon	luncheons
yogi	yogis
encore	encoring|encores|encored
devices	device
skyman	skymen
oviduct	oviducts
rive	riving|rived|riven|rives
enmesh	enmeshed|enmeshes|enmeshing
spider	spiders
earnings	earning
recriminate	recriminated|recriminates|recriminating
blowtube	blowtubes
convex	convexed|convexes
disconcerted	disconcert|disconcerts|disconcerting
legerity	legerities
eighth	eighths
corvette	corvettes
cayuse	cayuses
carousel	carousels
undy	undying|undies
dart	darting|darts|darted
priggism	priggisms
plasma	plasmas
vivo	vivos
ashamed	ashame
neckwear	neckwears
billing	bill|billed|billings|bills
caliber	calibers
protist	protists
wanness	wannesses
emission	emissions
deerskin	deerskins
denude	denudes|denuding|denuded
furlough	furloughing|furloughs|furloughed
trader	traders
friend	friended|friends|friending
calomel	calomels
pelican	pelicans
guaranteed	guaranteeing|guarantee|guarantees
plea	pleas
demand	demanded|demands|demanding
deflator	deflators
inflection	inflections
legitimatize	legitimatized|legitimatizing
grouser	grousers
nielloed	niello|nielloing|niellos
defacer	defacers
salter	salters
satanism	satanisms
agriculturalist	agriculturalists
polished	polish|polishes|polishing
mud	mudding|mudded|muds
pan	panning|pans|panned
meta	metas
rifeness	rifenesses
doughboy	doughboys
pimping	pimped|pimps|pimp
excision	excisions
threader	threaders
olfactory	olfactories
frill	frills|frilled|frilling
downfall	downfalls|downfalling
cajole	cajoles|cajoled|cajoling
tigress	tigresses
jobholder	jobholders
bucking	bucked|bucks|buck
thermos	thermo
kiloton	kilotons
physiotherapy	physiotherapies
phrenic	phrenics
understate	understates|understating|understated
clement	clements
bestead	besteads|besteaded|besteading
bryophyte	bryophytes
snuffers	snuffer
inflationist	inflationists
waxed	waxing|waxes|wax
uncombined	uncombine|uncombining
chemise	chemises
undeserved	undeserving|undeserve
stepdame	stepdames
li	lied|lis
edgeways	edgeway
goodwife	goodwives
fumbler	fumblers
roundel	roundels
trichinize	trichinizing|trichinized
turps	turp
microgramme	microgramming|microgrammes
annul	annuls|annulled|annulling
maar	maars
unship	unshipping|unships|unshipped
prize	prizing|prizes|prized
plane	planes|planed|planing
unrevealed	unrevealing
hedonist	hedonists
setline	setlines
keg	kegs
confab	confabbed|confabs|confabbing
behoove	behooves|behooved|behooving
pennyweight	pennyweights
obligee	obligees
disclosure	disclosures
realist	realists
altruist	altruists
caracul	caraculs
epithalamium	epithalamiums
poppy	poppied|poppies
locate	locating|locates|located
receptor	receptors
summand	summands
chap	chapping|chaps|chapped
mislike	mislikes|misliking|misliked
egomania	egomanias
papistry	papistries
potential	potentials
twitter	twitters|twittering|twittered
sparge	sparges|sparged|sparging
chamade	chamades
couture	coutures
tabour	tabours|taboured|tabouring
chew	chewed|chewing|chews
