躄	[tích] ① Khoèo cả hai chân gọi là tích 躄, khoèo một chân gọi là bả 跛 (có chỗ đọc là bí).
莒	[cử] ① Tên một nước ngày xưa. ② Cỏ cử.
莎	[toa, sa] ① Cỏ gấu. Củ nó gọi là hương phụ tử 香附子 củ gấu, dùng làm thuốc. ② Một âm là sa. Sa kê 莎雞 con giọt sành.
莊	[trang] ① Nghiêm trang, sắc mặt kính cẩn chính đính gọi là trang. ② Ngả sáu, con đường thông sáu mặt gọi là trang. ③ Trang trại, chỗ nhà cửa có người ở trong làng gọi là trang. Vì thế nên ruộng nương của cải cũng gọi là trang. ④ Nhà chứa hàng. Như y trang 衣莊 cửa hàng bán áo. ⑤ Chỗ chứa các hàng hoá để gửi đi các nơi gọi là trang. Như dương trang 洋莊 cửa hàng bán buôn các hàng tây. Nhà đổi tiền cũng gọi là trang. ⑥ Lập riêng cơ sở ở ngoài thành thị cũng gọi là trang. ⑦ Chỗ nhà làm ruộng lớn cũng gọi là trang.
莉	[lị] ① Cũng như chữ lị 涖.
莆	[phủ, bồ] ① Tiệp phủ 萐莆 một thứ cỏ báo điềm lành đời vua Nghiêu. ② Một âm là bồ. Bồ Ðiền 莆田 huyện Bồ Ðiền.
莅	[lị] ① Tới, trị, thống trị. Cũng như chữ lị 涖. Lão Tử 老子: dĩ đạo lị thiên hạ 以道涖天下 dùng đạo để trị thiên hạ.
荽	[tuy] ① Hồ tuy 胡荽 một thứ rau, lá non dùng nấu đồ ăn thơm ngon.
荼	[đồ, gia] ① Rau đồ, một loài rau đắng. ② Một loài cỏ có hoa trắng như bông lau, tua xúm xít nhau mà bay phấp phới. Nay ta thấy đám quân đi rộn rịp rực rỡ thì khen là như hoả như đồ 如火如荼 là mường cái dáng nó tung bay rực rỡ vậy. ③ Hại. Như đồ độc sinh linh 荼毒生靈 làm hại giống sinh linh. ④ Một âm là gia. Gia Lăng 荼陵 tên đất.
荻	[địch] ① Cỏ địch, một loài cỏ lau. Ông Âu Dương Tu 歐陽修 nhà Tống 宋 thuở bé mồ côi bố, nhà lại nghèo quá, bà mẹ dạy học cứ lấy cỏ lau vạch chữ xuống đất cho học. Vì thế khen người mẹ hiền cũng hay dùng chữ hoạch địch 畫荻.
荸	[bột] ① Bột tề 荸薺 tục gọi là cây mã đề 馬蹄 hay là cây địa lật 地栗, ăn được.
艴	[phật] ① Bừng bừng, hằm hằm, sắc mặt giận.
船	[thuyền] ① Cái thuyền, chữ để gọi chung các thuyền. Nguyễn Trãi 阮廌: Cố sơn tạc dạ triền thanh mộng, nguyệt mãn Bình Than tửu mãn thuyền 故山昨夜纏清夢，月滿平灘酒滿船 Núi cũ đêm qua vương vấn mộng, Trăng ngập đầy sông (Bình Than), rượu ngập thuyền.
舸	[khả] ① Thuyền mành, thuyền to. Vương Bột 王勃: Khả hạm mê tân, thanh tước hoàng long chi trục 舸艦迷津，青雀黃龍之舳 thuyền bè chật bến sông, đuôi thuyền vẽ chim sẻ xanh, rồng vàng.
舷	[huyền] ① Mạn thuyền.
舶	[bạc] ① Tàu buồm, thuyền lớn đi bể. ② Hàng hoá ở xứ khác chở đến xứ mình gọi là bạc lai phẩm 舶來品.
舵	[đà] ① Cũng như chữ đà 柁, cái bánh lái thuyền.
舴	[trách] ① Trách mãnh 舴艋 cái thuyền nhỏ.
舳	[trục] ① Ðằng đuôi thuyền gọi là trục 舳, đằng đầu thuyền gọi là lô 艫. Như trục lô thiên lí 舳艫千里 đầu cuối cùng liền nối với nhau, tả sự nhiều thuyền san sát với nhau.
舲	[linh] ① Cái thuyền nhỏ có cửa sổ bên mui.
舐	[thỉ, để] ① Liếm, lấy lưỡi liếm vật gì gọi là thỉ. Ta quen đọc là chữ để. Trang Tử 莊子: Tần vương hữu bệnh triệu y, phá ung toà giả đắc xa nhất thặng, thỉ trĩ giả đắc xa ngũ thặng 秦王有病召醫，破癰痤者得車一乘，舐痔者得車五乘 vua Tần bị bệnh, vời thầy thuốc lại, kẻ mổ vỡ nhọt lớn, được xe một cỗ, kẻ liếm trĩ được xe năm cỗ.
脰	[đậu] ① Cổ, chỗ cổ dưới cằm gọi là đậu.
脯	[bô] ① Nem, thịt luộc chín rồi phơi khô gọi là bô. ② Các thứ quả khô cũng gọi là bô. Như đào bô 桃脯 đào phơi khô.
脬	[phao] ① Bọng đái, cái bong bóng.
脫	[thoát, đoái] ① Róc, lóc, bóc tuột. Thịt đã lạng xương đi rồi gọi là thoát. Vật gì rời ra đều gọi là thoát. Như thoát li quan hệ 脫離關係 đã lìa hẳn mối quan hệ, thoát quan 脫冠 cất mũ. ② Sơ lược. Người nào không câu chấp lễ tục gọi là sái thoát 灑脫 hay siêu thoát 超脫. ③ Rơi mất. Như thoát lạc 脫落 lọt rơi đi mất. ④ Khỏi, thoát khỏi. ⑤ Hoặc giả thế chăng. ⑥ Một âm là đoái. Ðoái đoái 脫脫 thư thái, thong thả.
脩	[tu] ① Nem, thịt thái bóp thính cho khô gọi là tu. Ngày xưa đến chơi đâu mang một gói nem để làm quà. Học trò đến xin học cũng mang theo bó nem (thúc tu 束脩) làm lễ. Vì thế nên đời sau gọi những bổng lộc của thầy giáo là thúc tu, có khi gọi tắt là tu. Luận ngữ 論語: Tự hành thúc tu dĩ thượng, ngô vị thường vô hối yên 自行束脩以上，吾未嘗無誨焉 ai dâng lễ để xin học thì từ một bó nem trở lên, ta chưa từng (chê là ít) mà không dạy. ② Sửa, dài. Cùng nghĩa với chữ tu 修. ③ Khô kháo.
脧	[tuyên, thôi] ① Giảm bớt, rút bớt. ② Một âm là thôi. Dái trẻ con.
脣	[thần] ① Môi. Thần vong xỉ hàn 脣亡齒寒 môi hở răng lạnh, ý nói các nước láng giềng với nhau phải dựa lẫn nhau mới đủ chống với nước khác, nếu tự chia rẽ nhau thì tất bị kẻ mạnh tàn phá.
脡	[đĩnh] ① Nem thái khúc dài. ② Thẳng cứng.
脞	[thoả, toả] ① Tùng thoả 叢脞 tủn mủn, không có chí to lớn. Ta quen đọc là chữ toả.
脝	[hanh] ① Bành hanh 膨脝 trương phềnh. Vì thế nên sự gì ngày một mở rộng hơn lên gọi là bành trướng 膨漲. Cũng viết là 膨脹.
脛	[hĩnh] ① Cẳng chân, từ đầu gối đến chân gọi là hĩnh. Nguyễn Du 阮攸: Tính thành hạc hĩnh hà dung đoạn 性成鶴脛何容斷 chân hạc tánh vốn dài, cắt ngắn làm sao được.
脚	[cước] ① Tục dùng như chữ cước 腳.
脘	[quản, oản] ① Phần trong của dạ dày, trên rốn năm tấc gọi là thượng quản 上脘, trên rốn bốn tấc chính giữa dạ dày gọi là trung quản 中脘, trên rốn hai tấc gọi là hạ quản 下脘. Ta quen đọc là chữ oản.
脗	[vẫn] ① Khóe môi, hợp liền. Tục dùng như chữ vẫn 吻.
脖	[bột] ① Tục gọi cái cổ là hạng bột 項脖 hay bột tử 脖子.
聊	[liêu] ① Hãy, cũng. Như liêu phục nhĩ nhĩ 聊復爾爾 hãy lại như thế như thế. ② Nhờ, như dân bất liêu sinh 民不聊生 dân không biết nhờ vào đâu mà sống được. ③ Tình ý buồn bã gọi là vô liêu 無聊. Liêu trai chí dị 聊齋志異: Ư thị chí vô liêu thời, nữ triếp nhất chí 於是至無聊時，女輒一至 từ đó cứ lúc quạnh hiu buồn bã, nàng lại đến luôn. ④ Tai ù.
聆	[linh] ① Nghe, nghe rồi, lĩnh được ý gọi là linh.
聃	[đam] ① Tục dùng như chữ đam 耽. ② Lão Ðam 老聃 tức Lão Tử 老子.
耞	[gia] ① Liên gia 連枷 cái néo đập lúa.
耜	[tỉ, cử] ① Cái lưỡi cầy. Tục đọc là chữ cử.
耈	[cẩu] ① Cũng như chữ cẩu 耇.
習	[tập] ① Học đi học lại, như giảng tập 講習, học tập 學習, v.v. ② Quen, thạo. Như tập kiến 習見 thấy quen, tập văn 習聞 nghe quen. ③ Tập quen, phàm cái gì vì tập quen không đổi đi được đều gọi là tập, như tập nhiễm 習染. ④ Chim bay vì vụt. ⑤ Chồng, hai lần.
翎	[linh] ① Lông cánh chim. ② Cái vầy tên. ③ Hoa linh 花翎, lam linh 藍翎 một thứ mũ trang sức của nhà Thanh 清, để thưởng cho các người có công.
翌	[dực] ① Ngày mai, kì tới. Dực nhật 翌日 ngày mai, dực niên 翌年 năm tới.
翊	[dực] ① Kính trọng, giúp đỡ. ② Bay.
罣	[quái, khuể] ① Ngại, làm trở ngại. Nay gọi các quan đang tại chức bị trách phạt là quái ngộ 罣誤. Có khi đọc là chữ khuể. Tâm vô quái ngại 心無罣礙 tâm không vướng ngại (Bát nhã ba la mật đa tâm kinh 般若波羅密多心經).
缽	[bát] ① Cũng như chữ bát 鉢.
絆	[bán] ① Cùm ngựa. ② Buộc chân, làm mất tự do, ngăn trở người ta không làm được gì gọi là bán trụ 絆住.
絅	[quýnh] ① Mặc lồng, như ý cẩm thượng quýnh 衣錦尚絅 áo gấm chuộng mặc lồng, nghĩa là mặc áo gấm trong ngoài mặc phủ một cái áo đơn nữa.
組	[tổ] ① Dây thao, đời xưa dùng dây thao để đeo ấn, cho nên gọi người bỏ chức quan về là giải tổ 解組. ② Liên lạc, như tổ chức 組織 liên lạc nhau lại làm một sự gì, một bộ đồ cũng gọi là nhất tổ 一組.
絃	[huyền] ① Dây đàn. ② Xe tơ sống xát keo vào để làm dây đàn gọi là huyền. ③ Ðời xưa ví vợ chồng như đàn sắt đàn cầm, cho nên vợ chết gọi là đoạn huyền 斷絃, lại lấy vợ nữa gọi là tục huyền 續絃. ④ Có khi viết là huyền 弦.
終	[chung] ① Hết, như chung nhật bất thực 終日不食 hết ngày chẳng ăn. Nguyễn Trãi 阮廌: chung tiêu thính vũ thanh 終宵聽雨聲 suốt đêm nghe tiếng mưa. ② Sau, như thuỷ chung 始終 trước sau. ③ Trọn, như chung chí bại vong 終至敗亡 trọn đến hỏng mất. ④ Chết, như thọ chung 壽終 chết lành, được hết tuổi trời. ⑤ Kết cục, như hết một khúc nhạc gọi là nhất chung 一終. ⑥ Một năm cũng gọi là chung. ⑦ Ðã. ⑧ Ðất vuông nghìn dặm gọi là chung.
絀	[truất, chuyết] ① Khíu, may. ② Thiếu, không đủ. Như doanh truất 嬴絀 thừa thiếu. Cũng đọc là chuyết, tương hình kiến chuyết 相形見絀 cùng so thấy vụng, thiếu.
紿	[đãi] ① Lừa dối.
紾	[chẩn, diễn] ① Chuyển, dây xoăn lại. ② Vặn, như chẩn kì huynh chi tí nhi đoạt chi thực 紾其兄之臂而奪之食 (Mạnh Tử 孟子) vặn tay anh mà cướp lấy ăn. ③ Một âm là diễn. Lớp xớp, không nhẵn.
紼	[phất] ① Dây tam cố, dây để buộc quan tài. ② Dây giong quan, vì thế nên đưa ma gọi là chấp phất 執紼.
紺	[cám] ① Xanh biếc, tục gọi là màu thiên thanh, màu xanh sẫm ánh đỏ.
紹	[thiệu] ① Nối, con em nối được nghiệp của ông cha, gọi là khắc thiệu cơ cừu 克紹箕裘. ② Nối liền, làm cho hai bên được biết nhau gọi là thiệu giới 紹介. Cũng như giới thiệu 介紹.
紵	[trữ] ① Sợi gai, vải mặc mùa hè thường gọi là trữ.
紳	[thân] ① Cái dải áo to. ② Cái đai áo chầu. Thường gọi các nhà quan là tấn thân 縉紳. Vì thế nên khi quan về hưu gọi là thân sĩ 紳士 hay thân khâm 紳衿, gọi tắt là thân 紳.
紲	[tiết] ① Nguyên là chữ tiết 絏.
紱	[phất] ① Dây thao đeo ấn.
細	[tế] ① Nhỏ, như tế cố 細故 cớ nhỏ, tế ngữ 細語 nói nhỏ. ② Tinh tế, tế mật, trái lại với thô suất gọi là tế.
累	[luy, luỹ, luỵ] ① Trói. ② Một âm là luỹ. Thêm, như tích luỹ 積累 tích thêm mãi, luỹ thứ 累次 nhiều lần, lần ấy, lần khác. ③ Lại một âm là luỵ. Liên lụy, chịu lụy, như thụ lụy bất thiển 受累不淺 chịu lụy không ít, tục lụy 俗累 thói tục làm lụy mình, gia lụy 家累 vì gia đình làm lụy mình, v.v. Phàm sự gì phiền đến thân đều gọi là lụy cả. Mang nợ cũng gọi là khuy lụy 虧累.
紮	[trát] ① Chét, bó, một gói đồ cũng gọi là nhất trát. ② Ðóng quân, như trát doanh 紮營 đóng dinh.
紬	[trừu] ① Trừu, một thứ dệt bằng tơ to. ② Quấn sợi, xe sợi. ③ Kéo ra, như trừu dịch 紬繹 gỡ kéo đầu mối ra. ④ Chắp nhặt.
紫	[tử] ① Sắc tía, sắc tím. ② Dây thao, đời xưa có chức kim tử quang lộc đại phu 金紫光祿大夫 nghĩa là chức quan được dùng ấn vàng dây thao tím, vì thế nên gọi những người bỗng dưng mà phú quý là thủ thanh tử như thập giới 取青紫如拾芥.
粘	[niêm] ① Tục dùng như chữ niêm 黏.
粗	[thố] ① Vầng to, như thô tế 粗細 vầng to nhỏ, dùng để nói về chu vi to hay nhỏ. ② Thô, không được nhẵn nhụi tinh tế. ③ Thô suất, thô thiển, sơ suất, quê kệch.
粕	[phách] ① Tao phách 糟粕 cặn rượu, bã giả. Phàm cái gì không có tinh tuý đều gọi là tao phách.
笵	[phạm] ① Cái khuôn, lấy đất làm khuôn gọi là hình 型, lấy loài kim làm khuôn gọi là dong 鎔, lấy loài mộc làm khuôn gọi là mô 模, lấy tre làm khuôn gọi là phạm 笵.
笳	[già] ① Cái kèn lá người mán cuốn lá lại thổi, gọi là hồ già 胡笳. Nguyễn Du 阮攸: Tín Dương thành thượng động bi già 信陽城上動悲笳 trên thành Tín Dương vang lên tiếng kèn ai oán.
笱	[cú, cẩu] ① Cái đó (để bắt cá). Cũng đọc là chư cẩu.
第	[đệ] ① Thứ đệ, như đệ nhất 第一 thứ nhất, đệ nhị 第二 thứ hai, v.v. ② Nhưng, dùng làm trợ từ. ③ Nhà cửa, như môn đệ 門第. ④ Khoa đệ, như thi đỗ gọi là cập đệ 及第, thi hỏng gọi là lạc đệ 落第.
笫	[chỉ] ① Cái đệm lót giường. Những lời nói riêng trong chốn buồng the gọi là sàng chỉ chi ngôn 牀笫之言.
笪	[đát] ① Thứ chiếu đan bằng nan tre to. ② Cái dây kéo thuyền.
笨	[bổn] ① Sù sì, cục kịch, vật gì nặng nề gọi là bổn trọng 笨重. Tục gọi kẻ ngu dốt là bổn.
符	[phù] ① Cái thẻ, làm bằng tre viết chữ vào rồi chẻ làm đôi, mỗi người giữ một mảnh khi nào sóng vào nhau mà đúng thì phải, là một vật để làm tin, ngày xưa phong các chư hầu hay sai các đại thần đi, đều lấy cái thẻ làm tin, cho nên gọi các phan (phiên) các trấn là phân phù 分符 hay phẩu phù 剖符, v.v. ② Ðiềm tốt lành. ③ Cái bùa, các thầy cúng vẽ son vẽ mực vào giấy để trừ ma gọi là phù, như phù lục 符籙, phù chú 符咒, v.v. Tục xưa cứ tết thì cắm cành đào lên mái nhà để trừ ma gọi là đào phù 桃符. ④ Hợp, đúng, như tương phù 相符 cùng hợp, bất phù 不符 chẳng đúng, v.v.
笥	[tứ] ① Cái sọt vuông, thùng vuông.
笠	[lạp] ① Cái nón. ② Cái lồng bàn.
笞	[si] ① Ðánh roi, đánh bằng bàn vả. Là một thứ hình trong ngũ hình ngày xưa.
笛	[địch] ① Cái sáo. Ðời sau gọi thứ sáo thổi dọc là cái tiêu 蕭, thứ thổi ngang là địch 笛. Nguyễn Du 阮攸: Ðoản địch thanh thanh minh nguyệt trung 短笛聲聲明月中 sáo vẳng từng hồi dưới sáng trăng.
笙	[sanh] ① Cái sênh. Ngày xưa làm bằng quả bầu, khoét 13 lỗ, trong có máng đồng thổi ra tiếng hay. ② Cái chiếu, như đào sanh 桃笙 thứ chiếu ken bằng đào trúc (chiếu trúc).
章	[chương] ① Văn chương, chương mạch. ② Văn vẻ, như phỉ nhiên thành chương 斐然成章 rõ rệt nên văn vẻ. ③ Phân minh, đời xưa chế ra quần áo để phân biệt kẻ sang người hèn gọi là chương, như bây giờ gọi những mề đay là huân chương 勲章, cái ngù ở vai là kiên chương 肩章, cái lon ở mũ là mạo chương 帽章 đều là noi nghĩa ấy cả. ④ Văn của quần thần dâng cho vua cũng gọi là chương, như tấu chương 奏章 sớ tâu, phong chương 封章 sớ tâu kín, đàn chương 彈章 sớ hặc, v.v. ⑤ Ðiều, như ước pháp tam chương 約法三章 ước phép ba điều. ⑥ Chương trình, định ra từng điều để coi đó mà làm việc gọi là chương trình 章程. ⑦ In, như đồ chương 圖章 tranh in. ⑧ Lối chữ chương, lối chữ lệ biến ra. ⑨ Phép lịch ngày xưa cho 19 năm là một chương.
竟	[cánh] ① Trọn, như cánh nhật 竟日 trọn ngày, hữu chí cánh thành 有志竟成 có chí trọn nên, v.v. ② Hết, như trường tài vị cánh 長才未竟 chưa thả hết tài. ③ Xong, như độc cánh 讀竟 đọc sách xong. ④ Dùng làm trợ từ, như tất cánh 畢竟, cứu cánh 究竟 xét hết, kết cùng, xét đến cùng tột.
窕	[điệu, thiêu] ① Yểu điệu 窈窕: xem chữ yểu 窈. ② Nhỏ. ③ Tốt đẹp. ④ Một âm là thiêu. Cùng nghĩa với chữ điêu 佻.
窔	[yểu, diểu] ① Áo yểu 奧窔 chỗ sâu thẳm. Góc tây bắc nhà gọi là áo, góc đông nam gọi là yểu. Ngày xưa làm nhà ngoài là nhà chơi, trong là nhà ở, cho nên dùng nói ví chỗ thâm thuý là áo yểu. Ta quen đọc là chữ diểu.
窓	[song] ① Tục dùng như chữ song 窗.
窒	[trất] ① Lấp, bức tức. Thở hút không được thông gọi là trất tức 窒息. ② Chất đạm khí lấy ở hoá học ra là trất tố 窒素. ③ Mắc mứu, như trất ngại nan hành 窒礙難行 mắc mứu khó đi.
窑	[diêu] ① Tục dùng như chữ diêu 窯.
移	[di, dị, sỉ] ① Dời đi. ② Biến dời, như di phong dịch tục 移風易俗 đổi dời phong tục. ③ Ông quan này đưa tờ cho ông quan cùng hàng khác gọi là di văn 移文. ④ Một âm là dị. Khen. ⑤ Lại một âm là sỉ. Rộng rãi.
秸	[kiết] ① Rơm lõi, rơm bóc bẹ đi rồi.
舂	[thung] ① Ðâm, giã. Như thung mễ 舂米 giã gạo. ② Cùng nghĩa với chữ xung 衝.
祭	[tế, sái] ① Cúng tế. ② Một âm là sái. Họ Sái.
祫	[hợp] ① Ông tổ đã thiên rồi đem tế chung ở miếu thuỷ tổ gọi là tế hợp 祭合.
票	[phiếu, tiêu, phiêu] ① Chứng chỉ, cái dấu hiệu để nêu tên cho dễ nhận. Như hối phiếu 匯票 cái phiếu đổi lấy tiền bạc. ② Một âm là tiêu. Lửa lém, lửa bay. ③ Lại một âm là phiêu. Nhẹ nhàng, nhanh.
祧	[thiêu, diêu] ① Nhà thờ để thần chủ đã lâu đời, như tổ tiên đã quá xa, lễ định thiên thần chủ đi chỗ khác. Ta quen đọc là chữ diêu.
祥	[tường] ① Ðiềm, điềm tốt gọi là tường 祥, điềm xấu gọi là bất tường 不祥. ② Tang ba năm, tới một năm gọi là tiểu tường 小祥, tới một năm nữa gọi là đại tường 大祥. ③ Phúc lành.
荷	[hà] ① Hoa sen. ② Bạc hà 薄荷 cây bạc hà, dùng cất dầu làm thuốc. ③ Một âm là hạ. Gánh vác. ④ Nhờ ơn. ⑤ Tự đảm đang lấy.
荳	[đậu] ① Cây đậu. Cùng nghĩa với chữ đậu 豆. ② Ðậu khấu 荳蔻 cây đậu khấu.
羞	[tu] ① Dâng đồ ăn. ② Ðồ ăn ngon, đồ ăn gì ngon cũng gọi là tu, như trân tu 珍羞. ③ Xấu hổ, thẹn thùng, như hàm tu 含羞 có vẻ thẹn thùng.
羝	[đê] ① Con dê đực.
羜	[trữ] ① Con chiên, con dê non mới năm tháng.
羚	[linh] ① Linh dương 羚羊 con linh dương, một giống dê ở rừng, sừng dùng làm thuốc.
硏	[nghiên, nghiễn] ① Nghiền nhỏ. ② Nghiên cứu. ③ Một âm là nghiễn. Cái nghiên mài mực.
硎	[hình] ① Hòn đá mài dao. ② Tân phát ư hình 新發於硎 nói dụ tuổi trẻ mới ra đời tiến mạnh không sợ gì.
硇	[nao] ① Nao sa 硇砂 (salammoniac) một chất đá như vỏ cây sinh ở bên núi lửa, dùng làm thuốc đánh màng mắt, và rất cần dùng về điện.
硃	[chu] ① Chu sa 硃砂 một thứ đá đỏ dùng làm thuốc được, dùng thuỷ ngân mà chế ra gọi là ngân chu 銀硃.
眾	[chúng] ① Ðông, nhiều, như chúng sinh 眾生 các loài có sống có chết, có cảm giác. ② Người, mọi người. ③ Số người, như nhược can chúng 若干眾 ngần ấy kẻ.
眽	[mạch] ① Mạch mạch 眽眽 cùng nhìn nhau, nhìn tròng trọc. ② Coi qua.
眶	[khuông] ① Vành mắt.
眵	[si] ① Dử mắt (ghèn).
盖	[cái] ① Nguyên là chữ cái 蓋.
盔	[khôi] ① Cái bạt. ② Cái mũ trụ, đội lên đầu để che tên đạn.
盒	[hạp] ① Cái hộp.
畨	[phiên] ① Tục dùng như chữ phiên 番.
畦	[huề] ① Thửa ruộng, năm mươi mẫu gọi là một huề. Một khu cũng gọi là một huề. ② Luống rau.
略	[lược] ① Mưu lược, phần nhiều chỉ về việc binh. Như thao lược 操略 có tài tháo vát. Người nào đảm đang có tài cũng gọi là thao lược. Phương lược 方略 sách chép về võ công. ② Cõi, như kinh lược 經略 kinh doanh sửa trị một cõi nào. Từ nhà Ðường trở về sau, muốn khai thác phương đất nào đều đặt một chức Kinh lược. Từ nhà Minh về sau thì quyền quan Kinh lược lại trọng lắm, hơn cả các chức Tổng đốc. ③ Lấy, không hao tổn binh tướng mà lấy được đất người gọi là lược. ④ Cướp, cùng một nghĩa với chữ lược 掠. ⑤ Giản lược quá, chỉ cứ về phần đại đoạn gọi là lược, như tiết lược 節略 nhặt qua từng đoạn. ⑥ Dùng làm trợ từ, như lược đồng 略同 hơi giống, lược tự 略似 hao hao tựa. ⑦ Ðạo. ⑧ Ðường. ⑨ Sắc, tốt.
畣	[đáp] ① Cũng như chữ đáp 答.
畢	[tất] ① Xong, hết. Học hết hạn học gọi là tất nghiệp 畢業. ② Ðủ hết, như quần hiền tất tập 群賢畢集 mọi người hiền đều họp đủ hết. ③ Cái lưới hình ba góc để bắt chim. ④ Sao Tất, một sao trong nhị thập bát tú. ⑤ Cái tờ, cái thư. Như thủ tất 手畢 cái tờ tay viết. ⑥ Cái gỗ để xâu muông sinh đem lên tế. ⑦ Kín. ⑧ Nhanh nhẹn.
產	[sản] ① Sinh đẻ. ② Chỗ sinh ra, như thổ sản 土產 vật ấy chỉ đất ấy mới có. ③ Của cải, như ruộng đất nhà cửa, đồ đạc để cho người ta nương đó mà sống đều gọi là sản nghiệp 產業. ④ Ðàn bà đẻ gọi là sản phụ 產婦, sau khi đẻ rồi mà ốm gọi là sản hậu 產後, v.v. ⑤ Một thứ âm nhạc.
甜	[điềm] ① Vị ngọt. ② Ngủ say gọi là điềm thuỵ 甜睡.
皎	[kiểu, hiệu] ① Trắng, sạch, sáng sủa. Ta quen đọc là chữ hiệu.
痕	[ngân] ① Sẹo, vết. Phàm vật gì có dấu vết đều gọi là ngân, như mặc ngân 墨痕 vết mực.
痔	[trĩ] ① Bệnh trĩ, một thứ nhọt loét ở trong ngoài lỗ đít.
痒	[dương] ① Ốm. ② Ngứa.
痏	[vị] ① Nhọt, sẹo.
痎	[giai] ① Sốt rét cách nhật.
痍	[di] ① Bị đau, như sang di 瘡痍 đau loét, ngoài da nhân bị thương mà vỡ loét ra gọi là sang di.
痌	[thông, đồng] ① Ðau. Ta quen đọc là chữ đồng.
痊	[thuyên] ① Khỏi, bệnh khỏi rồi gọi là thuyên.
眼	[nhãn] ① Mắt. ② Cái hố, cái lỗ. ③ Chỗ yếu điểm, như pháp nhãn tàng 法眼藏 chỗ chứa cái yếu điểm của pháp.
眺	[thiếu] ① Ngắm xa. ② Lườm.
眸	[mâu] ① Mâu tử 眸子 con ngươi mắt. Cũng gọi là nhãn châu 眼珠.
眷	[quyến] ① Nhìn lại, quyến cố. Ðược vua yêu nhìn đến gọi là thần quyến 宸眷, được quan trên yêu gọi là hiến quyến 憲眷. ② Người thân thuộc. Tục gọi các người nhà là gia quyến 家眷, hàng dâu gia cũng gọi là thân quyến 親眷. ③ Yêu.
皐	[cao] ① Khấn. ② Hãm giọng. ③ Ðất bên chằm, những đất ở vệ hồ vệ chằm đều gọi là cao. ④ Chỗ nước chảy uốn cong. Có khi viết là 皋. ⑤ Họ Cao.
瓢	[biều] ① Cái bầu, lấy vỏ quả bầu chế ra đồ đựng rượu đựng nước, gọi là biều. Xem chữ hồ 瓠.
瓠	[hồ, hoạch] ① Bầu, một giống dây như dưa có quả dài như quả bầu, lúc lớn ăn hết ruột, còn vỏ dùng làm cái lọ đựng nước được. ② Một âm là hoạch. Hoạch lạc 瓠落 cũng như khuếch lạc 廓落. Trang Tử (莊子): Phẫu chi dĩ vi biều, tắc hoạch lạc vô sở dung 剖之以為瓢，則瓠落無所容 bổ nó ra làm cái bầu thì mảnh vỏ không đựng được vật gì.
琊	[gia] ① Lang gia 琅琊 tên đất.
琉	[lưu] ① Lưu li 琉璃 một thứ ngọc quý ở Tây vực.
理	[lí] ① Sửa ngọc, làm ngọc. ② Sửa sang, trị. Như lí sự 理事 làm việc, chỉnh lí 整理 sắp đặt, tu lí  修理 sửa sang, v.v. ③ Ðiều lí 條理, phàm cái gì có trước có sau có gốc có ngọn không loạn thứ tự đều gọi là điều lí. Ðiều 條 là nói cái lớn, lí 理 là nói cái nhỏ, như sự lí 事理, văn lí 文理 đều một nghĩa ấy cả. ④ Ðạo lí 道理, nói về sự nên làm gọi là đạo 道, nói về cái lẽ sao mà phải làm gọi là lí 理. Lí tức là cái đạo tự nhiên vậy. ⑤ Thớ, như thấu lí 腠理 mang thớ da dẻ. Xem chữ thấu 腠. ⑥ Ðời xưa gọi quan án là lí, cho nên toà án thượng thẩm bây giờ gọi là đại lí viện 大理院. ⑦ Ôn tập, đem cái nghe biết trước mà dung nạp với cái mới hiểu cho chỉnh tề gọi là lí. ⑧ Cùng ứng đáp không trả lời lại, tục gọi là bất lí 不理, nghe tiếng lọt vào lòng thông hiểu được gọi là lí hội 理會. ⑨ Lí học, nghiên cứu về môn học thân tâm tinh mệnh gọi là lí học 理學 hay đạo học 道學. Môn triết học 哲學 bây giờ cũng gọi là lí học 理學. ⑩ Lí khoa 理科 một khoa học nghiên cứu về tính vật như vật lí học 物理學, hoá học 化學, v.v. ⑪ Lí chướng 理障 chữ nhà Phật, không rõ lẽ đúng thực, bị ý thức nó chướng ngại.
琅	[lang] ① Lang can 琅玕 ngọc lang can. ② Lâm lang 琳琅 tiếng ngọc.
球	[cầu] ① Cái khánh ngọc. ② Quả tròn, như địa cầu 地球 quả đất, bì cầu 皮球 quả bóng, v.v. ③ Ngọc cầu, thứ ngọc đẹp.
現	[hiện] ① Hiển hiện, rõ ràng. ② Hiện ngay bây giờ, như hiện tại 現在 hiện bây giờ. ③ Có thực ngay đấy. ④ Ánh sáng ngọc.
玈	[lô] ① Sắc đen, cái cung đen.
率	[suất, suý, luật, soát] ① Noi theo. ② Lĩnh, suất. Như suất tử kị tôn 率子曁孫 suất con và cháu. ③ Ðại suất 大率 cũng như nói đại khái. ④ Làm nên, làm đích. ⑤ Hấp tấp, khinh xuất. ⑥ Tính thẳng, không ưa lời văn hoa phiền phức. ⑦ Cái lưới bắt chim. ⑧ Dùng. ⑨ Một âm là suý. Cùng nghĩa với chữ suý. ⑩ Lại một âm là luật. Luật nhất định, như toán thuật chi hữu định luật 算術之有定率 phép tính có luật nhất định. ⑪ Một âm nữa là soát. Quả cân sáu lạng.
猫	[miêu] ① Tục dùng như chữ miêu 貓.
猪	[trư] ① Tục dùng như chữ trư 豬.
