A	As
erkenntlich	erkenntliches|erkenntlichem|erkenntlichen|erkenntliche|erkenntlicher
Erkenntlichkeit	Erkenntlichkeiten
Erkenntnis	Erkenntnissen|Erkenntnisse
Erker	Erkern|Erkers
erklingen	erklangst|erklingend|erkling|klängest|erklingest|erklinget|erklinge|klängen|erklingt|erklungen|erklangen|erklang|erklangt|erklingst|klänget|klänge
erklären	erklärst|erklärest|erklärtet|erklärte|erklärten|erklärtest|erklärt|erkläre|erklär|erklärend|erkläret
erkranken	erkranke|erkrankte|erkranket|erkrankest|erkrankt|erkrankten|erkranktet|erkrankst|erkrank|erkranktest|erkrankend
Erkrankung	Erkrankungen
erkunden	erkundet|erkundetest|erkundest|erkundetet|erkundeten|erkunde|erkundete|erkundend
erkundigen	erkundiget|erkundigst|erkundigtet|erkundige|erkundigt|erkundigest|erkundigtest|erkundigten|erkundigend|erkundig|erkundigte
Erkundung	Erkundungen
erkälten	erkälte|erkälteten|erkältest|erkältetet|erkältet|erkältetest|erkältete|erkältend
erlahmen	erlahm|erlahmest|erlahmst|erlahmet|erlahmte|erlahmtest|erlahmten|erlahme|erlahmtet|erlahmt|erlahmend
erlangen	erlangten|erlangtet|erlange|erlangtest|erlangt|erlangte|erlangest|erlangend|erlangst|erlang|erlanget
erlassen	erlasset|erließt|erließet|erließe|erlass|erlasst|erließen|erlassest|erlasse|erlassend|erließest|erlässt|erließ
erlauben	erlaubet|erlaubest|erlaubt|erlaube|erlaubten|erlaub|erlaubtet|erlaubst|erlaubte|erlaubtest|erlaubend
erlaucht	erlauchter
Erle	Erlen
erleben	erlebte|erlebst|erlebest|erlebet|erlebten|erlebe|erlebt|erleb|erlebend|erlebtest|erlebtet
Erlebnis	Erlebnisse|Erlebnisses|Erlebnissen
erlegen	erlegt|erleg|erlegte|erleget|erlege|erlegst|erlegten|erlegest|erlegtest|erlegtet|erlegend
erleichtern	erleichternd|erleichtre|erleichtert|erleichter|erleichterest|erleichtret|erleichterst|erleichtrest|erleichtertest|erleichtere|erleichtertet|erleichteret|erleichterte|erleichterten
Erleichterung	Erleichterungen
erleiden	erlitt|erlitte|erleidend|erleidet|erlitten|erlittet|erlittest|erleide|erleidest
erleuchten	erleuchtetet|erleuchtet|erleuchtest|erleuchtetest|erleuchtend|erleuchtete|erleuchte|erleuchteten
erleuchtet	erleuchtetem|erleuchtetes|erleuchteter|erleuchtete|erleuchteten
erliegen	erliege|erläge|erlieg|erliegt|erlagst|erlägen|erlagt|erlägest|erläget|erlegen|erliegend|erliegst|erlag|erliegest|erlieget|erlagen
erläutern	erläuter|erläuterest|erläutert|erläuterst|erläuteret|erläutere|erläutrest|erläutret|erläutertest|erläutertet|erläutre|erläuterte|erläuterten|erläuternd
Erläuterung	Erläuterungen
Erlös	Erlösen|Erlöses|Erlöse
erlöschen	löscht|löschend|gelöscht|löschten|löschtet|löschet|löschen|lösch|löschtest|löschst|löschte|löschest|lösche
Erlöser	Erlösers|Erlösern
Erlösung	Erlösungen
ermahnen	ermahnst|ermahnte|ermahnten|ermahne|ermahnt|ermahn|ermahnest|ermahnend|ermahntet|ermahnet|ermahntest
Ermahnung	Ermahnungen
ermangeln	ermangelten|ermangeltet|ermangelt|ermangelte|ermangeltest|ermangelet|ermangelest|ermangelnd|ermanglest|ermangele|ermangle|ermangel|ermanglet|ermangelst
ermatten	ermatte|ermattetest|ermatteten|ermattest|ermattete|ermattend|ermattet|ermattetet
Ermitteln	Ermittelns
ermitteln	ermittelst|ermittelnd|ermittelt|ermittlet|ermittlest|ermittle|ermittele|ermittelte|ermittelten|ermittel|ermitteltet|ermitteltest|ermittelest|ermittelet
Ermittlung	Ermittlungen
Ermittlungsverfahren	Ermittlungsverfahrens
ermorden	ermordeten|ermordetest|ermordend|ermordet|ermordest|ermordete|ermorde|ermordetet
Ermordung	Ermordungen
ermutigend	ermutigenden|ermutigendem|ermutigender|ermutigende|ermutigendes
ermächtigen	ermächtige|ermächtigte|ermächtigten|ermächtig|ermächtigtet|ermächtigt|ermächtigest|ermächtigend|ermächtigst|ermächtigtest|ermächtiget
Ermäßigung	Ermäßigungen
ermöglichen	ermöglichst|ermöglichend|ermöglicht|ermöglich|ermögliche|ermöglichtest|ermöglichte|ermöglichest|ermöglichet|ermöglichten|ermöglichtet
ermüden	ermüdest|ermüdete|ermüdetet|ermüde|ermüdet|ermüdetest|ermüdeten|ermüdend
ermüdend	ermüdende|ermüdender|ermüdendem|ermüdendes|ermüdenden
ernennen	ernenne|ernennst|ernenntet|ernenn|ernennend|ernennten|ernenntest|ernennest|ernanntet|ernennte|ernannten|ernanntest|ernannte|ernennet|ernennt|ernannt
erneuern	erneuerst|erneure|erneuerten|erneuertest|erneurest|erneuertet|erneuret|erneueret|erneuert|erneuerte|erneuer|erneuerest|erneuere|erneuernd
erneuernd	erneuernder|erneuerndes|erneuernden|erneuernde|erneuerndem
Erneuerung	Erneuerungen
erniedrigen	erniedrigte|erniedrigtet|erniedrigst|erniedrigten|erniedriget|erniedrigt|erniedrigend|erniedrigest|erniedrigtest|erniedrige|erniedrig
Erniedrigung	Erniedrigungen
ernst	ernstem|ernster|ernste|ernstes|ernsten
Ernstfall	Ernstfällen|Ernstfalles|Ernstfalls|Ernstfalle|Ernstfälle
Ernte	Ernten
Erntedankfest	Erntedankfesten|Erntedankfeste|Erntedankfestes|Erntedankfests
ernten	geerntet|erntetest|ernte|erntetet|erntest|erntend|ernteten|erntet|erntete
ernähren	ernähr|ernährte|ernährst|ernährend|ernährest|ernähret|ernähre|ernährten|ernährt|ernährtet|ernährtest
Ernährer	Ernährern|Ernährers
Ernährungszustand	Ernährungszustände|Ernährungszustandes|Ernährungszustande|Ernährungszustands|Ernährungszuständen
ernüchtern	ernüchtrest|ernüchterte|ernüchterest|ernüchterst|ernüchternd|ernüchter|ernüchteret|ernüchtret|ernüchtert|ernüchtre|ernüchtere|ernüchtertest|ernüchtertet|ernüchterten
Ernüchterung	Ernüchterungen
erobern	erobere|erobernd|eroberte|erobertest|eroberst|erober|erobre|erobertet|eroberet|eroberest|erobret|eroberten|erobrest|erobert
Eroberung	Eroberungen
erogen	erogenes|erogener|erogenen|erogene|erogenem
erotisch	erotische|erotischer|erotischem|erotischen|erotisches
erpicht	erpichter|erpichtem|erpichten|erpichtes|erpichte
erpressen	erpresset|erpresst|erpressend|erpressest|erpresstet|erpressten|erpress|erpresse|erpresstest|erpresste
Erpresser	Erpressern|Erpressers
Erpressung	Erpressungen
Erpressungsversuch	Erpressungsversuches|Erpressungsversuchs|Erpressungsversuche|Erpressungsversuchen
erproben	erprob|erprobe|erprobet|erprobtest|erprobest|erprobtet|erprobt|erprobend|erprobte|erprobten|erprobst
Erprobung	Erprobungen
erraten	erriet|erratet|erratest|errätst|errät|erratend|errietest|errietet|erriete|errieten|errate
errechnen	errechnest|errechnetest|errechnetet|errechnet|errechne|errechnend|errechneten|errechnete
erregen	erregtet|erregest|erregend|erregst|erregte|erregtest|erregt|erreget|erreg|errege|erregten
Erreger	Erregers|Erregern
Erregung	Erregungen
errichten	errichtest|errichte|errichteten|errichtete|errichtend|errichtet|errichtetest|errichtetet
erringen	erringest|erringet|errang|erränget|erringst|erringend|errangen|errangst|errangt|erringe|erring|erringt|errängen|errungen|errängest|erränge
Errungenschaft	Errungenschaften
erröten	errötete|errötetest|errötet|errötest|erröteten|errötend|errötetet|erröte
Ersatz	Ersätze|Ersätzen|Ersatzes|Ersatze
Ersatzmann	Ersatzmannes|Ersatzmanns|Ersatzmänner|Ersatzmanne|Ersatzmännern
Ersatzrad	Ersatzrades|Ersatzräder|Ersatzrads|Ersatzrade|Ersatzrädern
Ersatzspieler	Ersatzspielern|Ersatzspielers
erschallen	erschölle|erschollt|erscholl|erschallend|erschall|erschöllet|erschallst|erschalltet|erschalle|erschöllen|erschallet|erschollst|erschallest|erschallt|erschalltest|erschallten|erschöllest|erschallte|erschollen
erschauern	erschauertet|erschaueret|erschauernd|erschaure|erschauerest|erschaurest|erschauerten|erschauert|erschauerst|erschauer|erschauere|erschauret|erschauerte|erschauertest
erscheinen	erschienst|erschienet|erschein|erschienen|erscheinst|erscheinest|erschien|erschiene|erscheint|erschienest|erscheinend|erscheine|erschient|erscheinet
Erscheinung	Erscheinungen
Erschießen	Erschießens
erschießen	erschießest|erschießet|erschieß|erschießt|erschießend|erschössest|erschosst|erschösset|erschossen|erschoss|erschössen|erschösse|erschieße
erschlaffen	erschlaffst|erschlaffte|erschlaffend|erschlaffet|erschlafftest|erschlaffest|erschlaff|erschlafftet|erschlafften|erschlaffe|erschlafft
erschlagen	erschlage|erschlägt|erschlugen|erschlüge|erschlüget|erschlügen|erschlagt|erschlagend|erschlagest|erschlugst|erschlügest|erschlag|erschlaget|erschlug|erschlägst|erschlugt
erschließen	erschließend|erschlossen
erschrecken	erschrak|erschräkest|erschreckten|erschräke|erschraken|erschreckst|erschreckt|erschrickt|erschräket|erschrickst|erschrick|erschrecket|erschreckest|erschrakst|erschrecke|erschricke|erschreckte|erschreckend|erschrocken|erschrecktet|erschrakt|erschreck|erschrecktest|erschräken
erschweren	erschwertest|erschwerend|erschwertet|erschweret|erschwert|erschwere|erschwerten|erschwer|erschwerte|erschwerst|erschwerest
erschwinglich	erschwinglichen|erschwinglicher|erschwinglichem|erschwingliches|erschwingliche
erschöpfen	erschöpfte|erschöpft|erschöpfend|erschöpfst|erschöpftet|erschöpf|erschöpfest|erschöpfet|erschöpftest|erschöpfe|erschöpften
erschöpfend	erschöpfender|erschöpfendem|erschöpfende|erschöpfenden|erschöpfendes
Erschöpfung	Erschöpfungen
erschüttern	erschüttert|erschüttere|erschütterest|erschüttertet|erschütternd|erschüttrest|erschütterten|erschütterte|erschüttre|erschütterst|erschüttertest|erschütter|erschütteret|erschüttret
Erschütterung	Erschütterungen
ersehen	ersiehst|ersieht|ersehest|ersahst|ersähen|ersehend|ersähet|ersieh|ersähest|ersiehe|ersahen|ersähe|ersah|ersaht|erseht|ersehe|ersehet
ersehnen	ersehntet|ersehnet|ersehntest|ersehnend|ersehne|ersehnest|ersehnt|ersehnte|ersehnten|ersehn|ersehnst
ersetzbar	ersetzbarer|ersetzbarem|ersetzbaren|ersetzbares|ersetzbare
Ersetzen	Ersetzens
Ersetzung	Ersetzungen
ersinnen	ersinn|ersannst|ersinnt|ersönnen|ersönnet|ersannen|ersinnst|ersännest|ersonnen|ersänne|ersinnet|ersännet|ersannt|ersinnend|ersann|ersinnest|ersönnest|ersännen|ersinne|ersönne
erspähen	erspähten|erspähte|erspähest|erspähe|erspähet|erspähtet|erspähtest|erspäh|erspäht|erspähend|erspähst
Erstarren	Erstarrens
erstarren	erstarr|erstarrt|erstarrte|erstarrest|erstarret|erstarrtet|erstarrten|erstarrtest|erstarre|erstarrst|erstarrend
erstatten	erstattete|erstatte|erstattend|erstatteten|erstattet|erstattest|erstattetet|erstattetest
Erstattung	Erstattungen
Erstaunen	Erstaunens
erstaunen	erstaunet|erstaune|erstaunten|erstaunst|erstaunt|erstaun|erstauntet|erstaunend|erstaunte|erstaunest|erstauntest
erstaunlich	erstaunlichen|erstaunlicher|erstaunlichem|erstaunliche|erstaunliches
erstechen	erstochen|erstecht|erstachst|erstächest|erstacht|erstachen|erstich|erstechend|erstach|erstichst|erstechet|erstäche|ersteche|erstechest|erstächen|erstächet|ersticht
ersteigern	ersteigerten|ersteigrest|ersteigerst|ersteigerte|ersteigertet|ersteigret|ersteigerest|ersteigeret|ersteigertest|ersteigere|ersteigernd|ersteiger|ersteigre|ersteigert
erstellen	erstellst|erstellend|erstell|erstellten|erstellte|erstellest|erstelle|erstellet|erstellt|erstelltet|erstelltest
ersticken	ersticktest|erstickten|ersticke|ersticket|erstick|erstickest|erstickst|erstickte|ersticktet|erstickt|erstickend
erstklassig	erstklassigen|erstklassiges|erstklassige|erstklassigem|erstklassiger
Erstling	Erstlingen|Erstlings|Erstlinge
erstrangig	erstrangiger
erstreben	erstrebend|erstrebst|erstrebe|erstrebest|erstrebten|erstrebtet|erstrebt|erstreb|erstrebtest|erstrebte|erstrebet
erstrecken	erstreckte|erstrecket|erstreckten|erstreckend|erstreckest|erstreck|erstrecke|erstreckt|erstrecktet|erstrecktest|erstreckst
Ersuchen	Ersuchens
ersuchen	ersuche|ersuchten|ersuchtest|ersuchet|ersuchtet|ersuchend|ersuchst|ersuch|ersuchest|ersuchte|ersucht
ertappen	ertappten|ertapptet|ertapp|ertappend|ertapptest|ertappte|ertappest|ertappst|ertappe|ertappet|ertappt
ertragen	ertrag|ertraget|ertrüge|ertrugt|ertrug|ertragest|ertrage|ertrugen|ertrüget|ertragt|erträgst|ertragend|ertrügen|erträgt|ertrügest|ertrugst
ertrinken	ertrank|ertränket|ertrinket|ertrankst|ertränke|ertrinkst|ertrinkt|ertrinkend|ertrinkest|ertrankt|ertrinke|ertränkest|ertrunken|ertrink|ertränken|ertranken
ertönen	ertönten|ertönend|ertönt|ertönte|ertön|ertöne|ertönet|ertöntet|ertönest|ertöntest|ertönst
eruieren	eruierend|eruierten|eruierte|eruiertet|eruier|eruiertest|eruieret|eruierest|eruierst|eruiere|eruiert
eruptiv	eruptive|eruptives|eruptivem|eruptiven|eruptiver
Erwachen	Erwachens
erwachen	erwachte|erwachtet|erwachend|erwachest|erwach|erwachten|erwache|erwachet|erwachtest|erwachst|erwacht
erwachsen	erwachse|erwächst|erwachsest|erwüchse|erwüchsest|erwüchset|erwuchs|erwachset|erwuchst|erwachsend|erwachs|erwachst|erwüchsen|erwuchsen
Erwachsensein	Erwachsenseins
Erwartung	Erwartungen
Erweckung	Erweckungen
erweichen	erweichten|erweichtest|erweiche|erweichet|erweichst|erweichtet|erweichend|erweich|erweichest|erweicht|erweichte
erweisen	erwiesest|erwiest|erwies|erwiesen|erwiese|erweis|erweiset|erweisend|erwieset|erweisest|erweise|erweist
erweitern	erweiteret|erweitertest|erweiter|erweitert|erweitrest|erweiterten|erweitertet|erweitre|erweitret|erweiterst|erweiterte|erweitere|erweiternd|erweiterest
Erweiterung	Erweiterungen
Erwerb	Erwerbes|Erwerbe|Erwerben|Erwerbs
erwerben	erworben|erwirbst|erwerbest|erwirbt|erwerbe|erwerbet|erwürben|erwarbt|erwirb|erwürbet|erwürbest|erwerbend|erwarbst|erwerbt|erwürbe|erwarb|erwarben
erwidern	erwiderst|erwiderest|erwideret|erwidre|erwidrest|erwidert|erwidere|erwidertest|erwidertet|erwidernd|erwidret|erwider|erwiderten|erwiderte
erwirtschaften	erwirtschafte|erwirtschaftest|erwirtschaftend|erwirtschafteten|erwirtschaftete|erwirtschaftet|erwirtschaftetest|erwirtschaftetet
erwischen	erwische|erwischend|erwischt|erwischten|erwischtet|erwischest|erwischet|erwisch|erwischtest|erwischte|erwischst
erwägen	erwogt|erwog|erwögen|erwäg|erwägt|erwäge|erwöget|erwäget|erwogst|erwägend|erwägst|erwägest|erwöge|erwögest|erwogen
Erwägung	Erwägungen
erwählen	erwählt|erwähltet|erwähltest|erwählet|erwählst|erwählten|erwähle|erwählte|erwählend|erwählest|erwähl
erwähnen	erwähne|erwähnet|erwähnest|erwähnte|erwähn|erwähntet|erwähntest|erwähnst|erwähnt|erwähnten|erwähnend
Erwähnung	Erwähnungen
erwärmen	erwärmst|erwärmest|erwärmte|erwärme|erwärmtest|erwärmtet|erwärmten|erwärm|erwärmt|erwärmet|erwärmend
erwünscht	erwünschte|erwünschtem|erwünschtes|erwünschter|erwünschten
erwürgen	erwürgt|erwürgest|erwürgtest|erwürg|erwürgend|erwürge|erwürgst|erwürget|erwürgten|erwürgtet|erwürgte
Erz	Erzen|Erzes|Erze
Erzbischof	Erzbischofs|Erzbischöfen|Erzbischöfe
Erzdiözese	Erzdiözesen
Erzengel	Erzengels|Erzengeln
erzeugen	erzeugend|erzeuget|erzeugtet|erzeugten|erzeugst|erzeugest|erzeuge|erzeugtest|erzeugt|erzeug|erzeugte
Erzeuger	Erzeugern|Erzeugers
Erzeugnis	Erzeugnissen|Erzeugnisse|Erzeugnisses
Erzeugung	Erzeugungen
Erzfeind	Erzfeinds|Erzfeindes|Erzfeinde|Erzfeinden
erziehen	erzieht|erziehet|erziehst|erzöge|erziehe|erzögest|erzogst|erzöget|erzogen|erzieh|erzog|erziehend|erziehest|erzögen|erzogt
Erzieher	Erziehers|Erziehern
Erzieherin	Erzieherinnen
erzielen	erzielst|erziele|erzielet|erzielend|erzielte|erzielten|erzielest|erzieltet|erzielt|erzieltest|erziel
erzwingen	erzwingest|erzwänge|erzwängest|erzwinge|erzwangt|erzwingt|erzwängen|erzwänget|erzwungen|erzwangst|erzwangen|erzwing|erzwingst|erzwinget|erzwingend|erzwang
erzählen	erzählten|erzählend|erzähltest|erzählest|erzählst|erzähl|erzähltet|erzähle|erzählet|erzählte|erzählt
Erzähler	Erzählers|Erzählern
Erzählung	Erzählungen
erzürnen	erzürntest|erzürnst|erzürntet|erzürnten|erzürne|erzürnte|erzürn|erzürnet|erzürnest|erzürnend|erzürnt
eröffnen	eröffnet|eröffne|eröffneten|eröffnete|eröffnetest|eröffnetet|eröffnest|eröffnend
Eröffnung	Eröffnungen
erörtern	erörtertest|erörter|erörtere|erörternd|erörterest|erörtertet|erörtret|erörtre|erörterst|erörteret|erörtert|erörtrest|erörterten|erörterte
Erörterung	Erörterungen
erübrigen	erübrigtet|erübrigend|erübrige|erübriget|erübrig|erübrigte|erübrigt|erübrigtest|erübrigst|erübrigten|erübrigest
Esche	Eschen
Esel	Eseln|Esels
Eselsbrücke	Eselsbrücken
Eskalation	Eskalationen
eskalieren	eskalierst|eskalierten|eskalierest|eskaliertet|eskalier|eskalierte|eskaliertest|eskaliere|eskalierend|eskaliert|eskalieret
eskortieren	eskortierst|eskortierest|eskortieret|eskortiere|eskortierte|eskortierend|eskortierten|eskortier|eskortiert|eskortiertet|eskortiertest
esoterisch	esoterischem|esoterischer|esoterischen|esoterisches|esoterische
Espe	Espen
Espenlaub	Espenlaubs|Espenlaube|Espenlaubes
Espresso	Espressos
Essen	Essens
essentiell	essentieller|essentielle|essentiellen|essentiellem|essentielles
Esser	Essern|Essers
Essig	Essigs|Essigen|Essige
Essiggurke	Essiggurken
Etage	Etagen
Etappe	Etappen
Etat	Etats
Ethik	Ethiken
ethisch	ethische|ethischem|ethischer|ethischen|ethisches
Etikett	Etiketts|Etiketten|Etikette|Etikettes
Etymologie	Etymologien
Eukalyptus	Eukalypten
Eule	Eulen
Eunuch	Eunuchen
Euphemismus	Euphemismen
euphemistisch	euphemistischen|euphemistischer|euphemistischem|euphemistisches|euphemistische
Euphorie	Euphorien
Europäer	Europäers|Europäern
Euter	Eutern|Euters
evangelisch	evangelischer|evangelisches|evangelischen|evangelische|evangelischem
Evangelist	Evangelisten
Evangelium	Evangelii|Evangeliums|Evangelia|Evangeliis|Evangelien|Evangelio|Evangeliorum
Evolutionist	Evolutionisten
ewig	ewiger|ewiges|ewigen|ewige|ewigem
exakt	exakte|exakten|exaktes|exakter|exaktem
exaltiert	exaltierte|exaltiertem|exaltiertes|exaltierten|exaltierter
Exemplar	Exemplars|Exemplaren|Exemplare
exerzieren	exerziertest|exerziertet|exerzierst|exerzieret|exerziere|exerzier|exerzierest|exerziert|exerzierend|exerzierten|exerzierte
exhumieren	exhumierest|exhumierte|exhumierend|exhumierten|exhumier|exhumiert|exhumieret|exhumiere|exhumiertet|exhumiertest|exhumierst
Exil	Exilen|Exile|Exils
existentiell	existentiellem|existentieller|existentielle|existentiellen|existentielles
existieren	existierest|existiere|existierten|existiert|existierst|existiertest|existierte|existiertet|existieret|existier|existierend
exotisch	exotische|exotischem|exotischen|exotisches|exotischer
Experiment	Experiments|Experimenten|Experimentes|Experimente
experimentieren	experimentierend|experimentiertet|experimentier|experimentiere|experimentierest|experimentierte|experimentieret|experimentierten|experimentierst|experimentiertest|experimentiert
Experte	Experten
explodieren	explodier|explodierend|explodierst|explodiertest|explodiertet|explodiert|explodierten|explodiere|explodierte|explodierest|explodieret
Explosion	Explosionen
Exponent	Exponenten
exportieren	exportiertet|exportierst|exportierend|exportierest|exportiere|exportierte|exportier|exportierten|exportiert|exportiertest|exportieret
Extrem	Extrems|Extremen|Extreme
extrem	extremem|extreme|extremen|extremes|extremer
exzellent	exzellentes|exzellenter|exzellentem|exzellenten|exzellente
Exzellenz	Exzellenzen
Exzentriker	Exzentrikern|Exzentrikers
Fabel	Fabeln
fabelhaft	fabelhaften|fabelhafter|fabelhafte|fabelhaftem|fabelhaftes
Fabrik	Fabriken
Fabrikant	Fabrikanten
Fabrikat	Fabrikats|Fabrikaten|Fabrikate|Fabrikates
Fabrikationsfehler	Fabrikationsfehlern|Fabrikationsfehlers
Facharzt	Fachärzte|Facharzte|Fachärzten|Facharztes
Fachausdruck	Fachausdrücken|Fachausdruckes|Fachausdrucks|Fachausdrücke|Fachausdrucke
Fachbereich	Fachbereichen|Fachbereiches|Fachbereichs|Fachbereiche
Fachhochschule	Fachhochschulen
Fachliteratur	Fachliteraturen
fachsimpeln	fachsimpeltest|gefachsimpelt|fachsimplet|fachsimpele|fachsimpelest|fachsimple|fachsimpelten|fachsimpelnd|fachsimpel|fachsimpelst|fachsimpelt|fachsimplest|fachsimpelet|fachsimpelte|fachsimpeltet
Fachsprache	Fachsprachen
Fackel	Fackeln
fackeln	fackelet|fackeltest|facklet|fackelest|gefackelt|fackelten|fackeltet|fackele|fackelt|fackel|facklest|fackelte|fackle|fackelnd|fackelst
fade	faden|fades|fadem|fader
Faden	Fadens|Fäden
Fadenkreuz	Fadenkreuzes|Fadenkreuzen|Fadenkreuze
fadenscheinig	fadenscheiniger|fadenscheinigen|fadenscheinige|fadenscheiniges|fadenscheinigem
Fagott	Fagotten|Fagotte|Fagotts|Fagottes
fahl	fahler|fahlen|fahlem|fahle|fahles
Fahne	Fahnen
Fahnenstange	Fahnenstangen
Fahnenträger	Fahnenträgers|Fahnenträgern
Fahrbahn	Fahrbahnen
fahren	fuhrst|führen|führe|fahr|führest|führet|fährst|fahret|fuhren|gefahren|fuhr|fuhrt|fahrend|fahre|fahrest|fahrt|fährt
Fahrer	Fahrers|Fahrern
Fahrgast	Fahrgäste|Fahrgästen|Fahrgasts|Fahrgaste|Fahrgastes
Fahrgeld	Fahrgeldes|Fahrgelde|Fahrgelder|Fahrgeldern|Fahrgelds
Fahrgestell	Fahrgestelle|Fahrgestelles|Fahrgestells|Fahrgestellen
fahrig	fahrigen|fahrigem|fahriger|fahrige|fahriges
Fahrkarte	Fahrkarten
Fahrkartenschalter	Fahrkartenschalters|Fahrkartenschaltern
Fahrlässigkeit	Fahrlässigkeiten
Fahrplan	Fahrpläne|Fahrplane|Fahrplänen|Fahrplanes|Fahrplans
Fahrrad	Fahrrads|Fahrrades|Fahrräder|Fahrrädern|Fahrrade
Fahrradfahren	Fahrradfahrens
Fahrradständer	Fahrradständern|Fahrradständers
Fahrschule	Fahrschulen
Fahrstuhl	Fahrstühle|Fahrstühlen|Fahrstuhls
Fahrwerk	Fahrwerke|Fahrwerks|Fahrwerken|Fahrwerkes
Fahrzeug	Fahrzeugs|Fahrzeugen|Fahrzeuge|Fahrzeuges
fair	faire|faires|fairer|fairem|fairen
Fakir	Fakirs|Fakire|Fakiren
Faktor	Faktors|Faktoren
Faktorei	Faktoreien
Fakultät	Fakultäten
Falke	Falken
fallen	fiel|gefallen|fallt|fall|fällt|fallet|fallend|fiele|fielt|fielet|fielest|falle|fielen|fallest|fielst|fällst
Fallensteller	Fallenstellers|Fallenstellern
Fallgrube	Fallgruben
Fallobst	Fallobste|Fallobsts|Fallobstes
Fallreep	Fallreeps|Fallreepe|Fallreepen
Fallschirm	Fallschirmen|Fallschirme|Fallschirmes|Fallschirms
Fallschirmjäger	Fallschirmjägern|Fallschirmjägers
Fallschirmspringer	Fallschirmspringers|Fallschirmspringern
Fallstrick	Fallstricke|Fallstricks|Fallstrickes|Fallstricken
Fallstudie	Fallstudien
falsch	falschem|falsches|falschen|falsche|falscher
Falschheit	Falschheiten
Falschspieler	Falschspielers|Falschspielern
Faltblatt	Faltblätter|Faltblattes|Faltblatte|Faltblatts|Faltblättern
Falte	Falten
falten	faltetet|faltetest|faltet|faltest|gefaltet|falteten|faltete|falte|faltend
Falter	Falters|Faltern
faltig	faltigen|faltiger|faltige|faltiges|faltigem
Falz	Falzes|Falzen|Falze
Familie	Familien
Familienname	Familiennamens|Familiennamen
Familienstand	Familienstände|Familienstande|Familienständen|Familienstandes|Familienstands
Familienvater	Familienvätern|Familienväter|Familienvaters
familiär	familiärer|familiären|familiärem|familiäre|familiäres
famos	famosem|famose|famoses|famosen|famoser
Fan	Fans
Fanal	Fanals|Fanalen|Fanale
Fanatiker	Fanatikers|Fanatikern
fanatisch	fanatischen|fanatisches|fanatische|fanatischer|fanatischem
Fanfare	Fanfaren
Fang	Fängen|Fangs|Fänge|Fanges|Fange
Fangfrage	Fangfragen
fantastisch	fantastischer|fantastischem|fantastischen|fantastische|fantastisches
Farbband	Farbbande|Farbbands|Farbbändern|Farbbandes|Farbbänder
farbecht	farbechten|farbechtes|farbechter|farbechte|farbechtem
Farbenlehre	Farbenlehren
Farbfernsehen	Farbfernsehens
Farbfernseher	Farbfernsehern|Farbfernsehers
farbig	farbiges|farbigem|farbige|farbiger|farbigen
farblos	farbloses|farblose|farblosen|farblosem|farbloser
Farbstift	Farbstifte|Farbstiftes|Farbstifts|Farbstiften
Farbstoff	Farbstoffs|Farbstoffes|Farbstoffe|Farbstoffen
Farbton	Farbtone|Farbtöne|Farbtönen|Farbtones|Farbtons
Farmer	Farmers|Farmern
Farn	Farne|Farnen|Farnes|Farns
Farnkraut	Farnkrauts|Farnkräuter|Farnkräutern|Farnkrautes|Farnkraute
Fasan	Fasane|Fasanen|Fasans
Fasching	Faschingen
Faschist	Faschisten
faschistisch	faschistischer|faschistisches|faschistische|faschistischem|faschistischen
faseln	faslest|faselt|faseltest|faselest|fasel|faselnd|faselet|faselte|fasle|faselst|faslet|faseltet|faselten|gefaselt|fasele
Faser	Fasern
faserig	faserige|faserigen|faserigem|faseriger|faseriges
Fassade	Fassaden
fassen	fass|fasst|fassest|fassten|fassend|fasse|fasste|fasstest|fasstet|gefasst|fasset
Fasson	Fassons
fassungslos	fassungsloses|fassungslosem|fassungslose|fassungslosen|fassungsloser
Fassungsvermögen	Fassungsvermögens
Fasten	Fastens
fasten	gefastet|fastetet|fastend|fastetest|fastet|fastest|fasteten|fastete|faste
Fastenzeit	Fastenzeiten
faszinieren	fasziniere|faszinier|faszinierest|faszinierte|fasziniertest|faszinieret|faszinierst|fasziniertet|faszinierten|faszinierend|fasziniert
faszinierend	faszinierender|faszinierendem|faszinierenden|faszinierendes|faszinierende
fatalistisch	fatalistischen|fatalistischem|fatalistischer|fatalistisches|fatalistische
fauchen	fauch|fauchet|gefaucht|fauchest|fauchte|fauche|fauchtest|faucht|fauchst|fauchend|fauchtet|fauchten
faul	faule|faulem|faules|faulen|fauler
faulen	faulte|faul|faulet|faulst|faultet|faule|faultest|gefault|fault|faulten|faulend|faulest
Faulenzer	Faulenzern|Faulenzers
faulig	fauligen|fauliges|fauligem|faulige|fauliger
Faulpelz	Faulpelzen|Faulpelze|Faulpelzes
Faultier	Faultiere|Faultieres|Faultiers|Faultieren
Faun	Fauns|Faunes|Faunen|Faune
Fausthandschuh	Fausthandschuhen|Fausthandschuhe|Fausthandschuhs
Faustkampf	Faustkampfs|Faustkämpfe|Faustkampfes|Faustkämpfen|Faustkampfe
Faustschlag	Faustschlage|Faustschlags|Faustschlägen|Faustschlages|Faustschläge
favorisieren	favorisierten|favorisieret|favorisierend|favorisierst|favorisiere|favorisiertest|favorisiertet|favorisier|favorisiert|favorisierte|favorisierest
Favorit	Favoriten
